%DECLARANT	QUANTITY_TON	VALUE_1000EURO	DATE
001	14.7	196.69	01/01/2003
001	29.3	407.19	01/02/2003
001	25.7	408.65	01/03/2003
001	32.3	464.31	01/04/2003
001	34.1	387.82	01/05/2003
001	18.2	212.77	01/06/2003
001	13.3	168.03	01/07/2003
001	4	54.17	01/08/2003
001	2.8	39.33	01/09/2003
001	2.7	43.21	01/10/2003
001	5	62.8	01/11/2003
001	372.9	5001.49	01/12/2003
003	9.1	121.15	01/01/2003
003	11.5	164.34	01/02/2003
003	10	166.04	01/03/2003
003	11.3	181.44	01/04/2003
003	34.2	422.86	01/05/2003
003	28.7	337.13	01/06/2003
003	15.6	202.19	01/07/2003
003	12.9	180.39	01/08/2003
003	13.7	214.62	01/09/2003
003	8.8	128.66	01/10/2003
003	8.4	108.83	01/11/2003
003	21.9	294.33	01/12/2003
004	31.2	438.79	01/01/2003
004	33.3	505.46	01/02/2003
004	30	524.92	01/03/2003
004	27.2	395.62	01/04/2003
004	25	321.39	01/05/2003
004	23.3	301.23	01/06/2003
004	18.6	254.25	01/07/2003
004	19	273.78	01/08/2003
004	19.5	287.34	01/09/2003
004	14.1	196.89	01/10/2003
004	29.9	379.14	01/11/2003
004	69.8	868.1	01/12/2003
005	22.4	278.57	01/01/2003
005	18.7	268.28	01/02/2003
005	18.5	307.93	01/03/2003
005	52.8	767.1	01/04/2003
005	51	620.01	01/05/2003
005	74.1	811.66	01/06/2003
005	94.1	1258.43	01/07/2003
005	66.1	923.21	01/08/2003
005	31.7	383.47	01/09/2003
005	29.9	323.66	01/10/2003
005	10.4	113.98	01/11/2003
005	90.8	1161.62	01/12/2003
006	69.5	875.58	01/01/2003
006	72.5	972.69	01/02/2003
006	54	843.36	01/03/2003
006	52.1	727.81	01/04/2003
006	62.3	752.97	01/05/2003
006	70.8	802.76	01/06/2003
006	55.1	688.48	01/07/2003
006	40.9	556.04	01/08/2003
006	46.8	655.36	01/09/2003
006	49.3	642.59	01/10/2003
006	36.2	472.2	01/11/2003
006	110.2	1408.47	01/12/2003
007	1.3	8.14	01/01/2003
007	2.2	15.26	01/02/2003
007	2	14.15	01/03/2003
007	1	6.5	01/04/2003
007	0.4	2.86	01/05/2003
007	0.6	7.83	01/06/2003
007	2	15.98	01/07/2003
007	0.2	1.53	01/09/2003
007	1	6.08	01/10/2003
007	1.5	9.57	01/11/2003
007	14.7	134.43	01/12/2003
008	2.5	38.63	01/01/2003
008	2.7	43.82	01/02/2003
008	2.4	43.75	01/03/2003
008	1.9	31.15	01/04/2003
008	3.6	51.59	01/05/2003
008	3.8	52.28	01/06/2003
008	3.3	50.92	01/07/2003
008	4.3	70.81	01/08/2003
008	4.1	72.52	01/09/2003
008	3.1	48.8	01/10/2003
008	3.3	48.21	01/11/2003
008	18.8	263.54	01/12/2003
009	2	30.68	01/01/2003
009	1.7	32.28	01/02/2003
009	3.2	59.51	01/03/2003
009	3.8	66.96	01/04/2003
009	3.7	57.33	01/05/2003
009	2.7	40.87	01/06/2003
009	4.5	73.55	01/07/2003
009	7	119.93	01/08/2003
009	4	79.36	01/09/2003
009	2.5	44.8	01/10/2003
009	2.5	40.87	01/11/2003
009	3.9	62.21	01/12/2003
010	1.5	24.52	01/01/2003
010	1	16.5	01/02/2003
010	0.9	16.15	01/03/2003
010	0.5	9.59	01/04/2003
010	1	16.18	01/05/2003
010	1	14.12	01/06/2003
010	1	15.07	01/07/2003
010	1	17.03	01/08/2003
