%DECLARANT	QUANTITY_TON	VALUE_1000EURO	DATE
001	28	331.06	01/01/2004
001	18.9	243.31	01/02/2004
001	36.8	456.29	01/03/2004
001	27.5	342.36	01/04/2004
001	33.3	380.44	01/05/2004
001	26.4	310.5	01/06/2004
001	13.4	168.37	01/07/2004
001	5	63.61	01/08/2004
001	2	30.16	01/09/2004
001	5.4	76.09	01/10/2004
001	15.2	184.73	01/11/2004
001	301	3747.98	01/12/2004
003	8.3	109.7	01/01/2004
003	7.3	103.92	01/02/2004
003	9.5	133.52	01/03/2004
003	9	117.89	01/04/2004
003	10.4	122.16	01/05/2004
003	10.4	115.47	01/06/2004
003	8.9	110.83	01/07/2004
003	8.8	111.06	01/08/2004
003	9.6	137.11	01/09/2004
003	22.6	319.12	01/10/2004
003	32.9	436.04	01/11/2004
003	46	574.96	01/12/2004
004	23	293	01/01/2004
004	25.9	344.76	01/02/2004
004	16.1	212.04	01/03/2004
004	16.9	214.28	01/04/2004
004	16.3	189.35	01/05/2004
004	14.7	174.21	01/06/2004
004	14.4	179.6	01/07/2004
004	15.5	204	01/08/2004
004	20.4	281.02	01/09/2004
004	19.2	267.87	01/10/2004
004	22.4	297.32	01/11/2004
004	123.1	1531.8	01/12/2004
005	22.8	272.76	01/01/2004
005	27.1	348.45	01/02/2004
005	49.7	620.26	01/03/2004
005	52.1	648.08	01/04/2004
005	49.8	559.11	01/05/2004
005	59.2	683.49	01/06/2004
005	64.3	787.9	01/07/2004
005	31.5	367.64	01/08/2004
005	30.2	375.78	01/09/2004
005	19.9	213.28	01/10/2004
005	16.8	169.21	01/11/2004
005	181.5	2143.5	01/12/2004
006	47.4	629.15	01/01/2004
006	47.6	613.5	01/02/2004
006	38.9	531.81	01/03/2004
006	46.6	607.57	01/04/2004
006	58	704.39	01/05/2004
006	59.2	702.71	01/06/2004
006	56.4	700.3	01/07/2004
006	56.5	729.34	01/08/2004
006	44.4	601.65	01/09/2004
006	40.4	577.29	01/10/2004
006	49.5	652.69	01/11/2004
006	109.7	1321.75	01/12/2004
007	0.9	5.87	01/01/2004
007	1.5	10.54	01/02/2004
007	2.2	14.66	01/03/2004
007	0.9	5.96	01/04/2004
007	0.9	6.05	01/05/2004
007	0.3	2.19	01/06/2004
007	3	29.62	01/09/2004
007	2	16.24	01/10/2004
007	0.9	7.42	01/11/2004
007	8.8	95.17	01/12/2004
008	2.9	41.19	01/01/2004
008	2.8	40.97	01/02/2004
008	4.1	61.23	01/03/2004
008	2.4	31.71	01/04/2004
008	3.7	45.53	01/05/2004
008	3.8	46.11	01/06/2004
008	2	28.5	01/07/2004
008	4.4	71.75	01/08/2004
008	2.9	55.45	01/09/2004
008	3.8	65.17	01/10/2004
008	3.7	60.14	01/11/2004
008	12.9	191.29	01/12/2004
009	2.8	45.3	01/01/2004
009	3	49.15	01/02/2004
009	2.7	47.3	01/03/2004
009	3.8	60.69	01/04/2004
009	2.3	39.38	01/05/2004
009	3.1	52.98	01/06/2004
009	3.7	59.03	01/07/2004
009	5.7	89.45	01/08/2004
009	2.6	44.65	01/09/2004
009	1.5	27.62	01/10/2004
009	23.3	29.7	01/11/2004
009	3.3	51.7	01/12/2004
010	1.1	15.11	01/01/2004
010	0.5	7.55	01/02/2004
010	0.5	7.88	01/03/2004
010	0.5	7.89	01/04/2004
010	0.5	6.87	01/05/2004
010	1	13.62	01/06/2004
010	0.8	12.36	01/08/2004
010	0.4	6.5	01/09/2004
010	1.9	26.52	01/12/2004
011	56	369.13	01/01/2004
011	69	431.85	01/02/2004
011	88.1	571.46	01/03/2004
011	102.8	642.27	01/04/2004
011	104.7	646.38	01/05/2004
011	119.9	715.43	01/06/2004
011	139.5	894.38	01/07/2004
011	117.6	825.84	01/08/2004
011	94.3	628.41	01/09/2004
011	83	533.09	01/10/2004
011	52.4	313.26	01/11/2004
011	242.9	1619.88	01/12/2004
017	172.3	2191.32	01/01/2004
017	129.9	1713.64	01/02/2004
017	114	1417.71	01/03/2004
017	76.4	959.47	01/04/2004
017	143	1578.75	01/05/2004
017	172.5	1807.79	01/06/2004
017	140.4	1698.92	01/07/2004
017	95.5	1230.52	01/08/2004
017	135.7	1783.49	01/09/2004
017	68.9	959.13	01/10/2004
017	58	764.39	01/11/2004
017	216	2685.18	01/12/2004
030	8.5	115.77	01/01/2004
030	10	150.86	01/02/2004
030	10.9	153.7	01/03/2004
030	7.5	104.06	01/04/2004
030	9.3	118.86	01/05/2004
030	7	89.59	01/06/2004
030	4.5	62.56	01/07/2004
030	9.8	141.69	01/08/2004
030	14.1	224.05	01/09/2004
030	13	153.87	01/10/2004
030	12.7	183.79	01/11/2004
030	65.9	880.02	01/12/2004
032	0.6	9.96	01/01/2004
032	1.2	20.14	01/02/2004
032	0.6	10.21	01/03/2004
032	0.6	10.37	01/04/2004
032	0.6	9.73	01/05/2004
032	0.6	9.14	01/06/2004
032	0.4	6.34	01/07/2004
032	0.6	10.89	01/08/2004
032	0.6	10.69	01/09/2004
032	0.7	12.54	01/10/2004
032	0.5	8.65	01/11/2004
032	1.2	19.03	01/12/2004
038	0.6	8.68	01/01/2004
