1	0	0	1	0	0	0.31
1	0	0	1	0	0	0.45
1	0	0	1	0	0	0.46
1	0	0	1	0	0	0.43
0	1	0	1	0	0	0.36
0	1	0	1	0	0	0.29
0	1	0	1	0	0	0.4
0	1	0	1	0	0	0.23
0	0	1	1	0	0	0.22
0	0	1	1	0	0	0.21
0	0	1	1	0	0	0.18
0	0	1	1	0	0	0.23
1	0	0	0	1	0	0.82
1	0	0	0	1	0	1.1
1	0	0	0	1	0	0.88
1	0	0	0	1	0	0.72
0	1	0	0	1	0	0.92
0	1	0	0	1	0	0.61
0	1	0	0	1	0	0.49
0	1	0	0	1	0	1.24
0	0	1	0	1	0	0.3
0	0	1	0	1	0	0.37
0	0	1	0	1	0	0.38
0	0	1	0	1	0	0.29
1	0	0	0	0	1	0.43
1	0	0	0	0	1	0.45
1	0	0	0	0	1	0.63
1	0	0	0	0	1	0.76
0	1	0	0	0	1	0.44
0	1	0	0	0	1	0.35
0	1	0	0	0	1	0.31
0	1	0	0	0	1	0.4
0	0	1	0	0	1	0.23
0	0	1	0	0	1	0.25
0	0	1	0	0	1	0.24
0	0	1	0	0	1	0.22
1	0	0	0	0	0	0.45
1	0	0	0	0	0	0.71
1	0	0	0	0	0	0.66
1	0	0	0	0	0	0.62
0	1	0	0	0	0	0.56
0	1	0	0	0	0	1.02
0	1	0	0	0	0	0.71
0	1	0	0	0	0	0.38
0	0	1	0	0	0	0.3
0	0	1	0	0	0	0.36
0	0	1	0	0	0	0.31
0	0	1	0	0	0	0.33
