8.2 	4 	23.005 	7.6 
7.6 	5 	23.873 	7.7 
4.6 	0 	26.417 	4.3 
4.3 	1 	24.868 	5.9 
5.9 	2 	29.895 	5.0 
5.0 	3 	24.200 	6.5 
6.5 	4 	23.215 	8.3 
8.3 	5 	21.862 	8.2 
10.1 	0 	22.274 	13.2 
13.2 	1 	23.830 	12.6 
12.6 	2 	25.144 	10.4 
10.4 	3 	22.430 	10.8 
10.8 	4 	21.785 	13.1 
13.1 	5 	22.380 	12.3 
13.3 	0 	23.927 	10.4 
10.4 	1 	33.443 	10.5 
10.5 	2 	24.859 	7.7 
7.7 	3 	22.686 	9.5 
10.0 	0 	21.789 	12.0 
12.0 	1 	22.041 	12.6 
12.1 	4 	21.033 	13.6 
13.6 	5 	21.005 	14.1 
15.0 	0 	25.865 	13.5 
13.5 	1 	26.290 	11.5 
11.5 	2 	22.932 	12.0 
12.0 	3 	21.313 	13.0 
13.0 	4 	20.769 	14.1 
14.1 	5 	21.393 	15.1 
