1	1	2	8	9.8	60.8	6.238	578	105	170	50	0.9191
4	1	2	8.06	9	55.35	10.42	233.7	58.22	97.58	10.5	0.6128
1	1	3	8.25	13.1	65.75	9.248	430	18.25	56.67	28.4	1.1
3	1	3	8.15	10.3	73.25	1.535	110	61.25	111.8	3.2	0.8325
4	1	3	8.05	10.6	59.07	4.99	205.7	44.67	77.43	6.9	0.9395
2	1	3	7.61	9.8	7	1.443	31.33	20	57.83	0.4	0.1461
3	1	3	7.35	10.4	7	1.718	49	41.5	61.5	0.8	0.9138
4	1	3	7.75	10.3	32.92	2.942	42	16	40	7.6	1.045
2	1	3	7.84	9.4	10.98	1.51	12.5	3	11.5	1.5	0.2041
3	1	3	7.77	10.7	12.54	3.976	58.5	9	44.14	3	1.004
4	1	3	7.4	12.5	13	3.33	60	72	142	4.9	1.199
3	1	3	7.8	11.3	20.08	3.02	49.5	53	130.8	5.8	1.63
3	1	2	8.15	7.1	54.19	3.829	647.6	59.43	175	13.2	1.23
1	1	3	8.3	7.7	50	8.543	76	264.9	344.6	22.5	0.1761
2	1	3	8.3	8.8	54.14	7.83	51.43	276.9	326.9	11.84	1.23
1	1	3	8.4	13.4	69.75	4.555	37.5	10	40.67	3.9	0.7404
2	1	3	8.3	12.5	87	4.87	22.5	27	43.5	3.3	0.9823
4	1	3	8	12.1	66.3	4.535	39	16	39	0.8	0.301
4	1	2	7.29	11.21	17.75	3.07	35	13	20.81	12.1	1.233
3	1	2	8	7.9	27.23	1.651	28.33	7.3	22.9	4.5	0.1761
3	1	3	7.19	11.7	4.326	1.474	160	2.5	7.2	0.3	0.3802
4	2	2	8.5	8.1	38.13	3.85	225	45	152.3	5.2	1.025
3	2	2	7.925	10.2	34.04	9.08	109	55	58.62	11.6	1.33
1	2	2	8.1	8.1	136	3.773	245	136.8	249.3	20.87	0.7076
2	2	2	8.2	6.8	129.4	3.316	271.3	100	233.5	13	0.8451
2	2	3	9.1	9.4	35.75	5.164	32.5	85.5	215.5	18.37	0.8976
4	2	2	8.1	9.8	29.5	1.287	224.3	25.17	102.3	3.6	0.1461
1	2	3	7.5	9.2	11	3.31	101	26.6	108	1.3	0.8388
2	2	3	7.4	9.8	11	3.235	255	38.75	56.67	2	0.3424
4	2	3	7.3	11.7	10.4	4.93	130	10.8	60	4.3	1.248
1	2	3	7.4	8.9	13.5	5.442	123.3	27.67	104	21	0.5185
3	2	3	7.4	11.17	12.15	6.188	89.6	32	69.93	3.1	0.9294
4	2	2	7.5	10.8	31	4.408	737.5	111.3	214	2.9	0.7924
1	2	2	7.6	6	53	3.734	914	137.6	254.6	4.3	1.117
3	2	2	7.4	10.77	36.25	3.73	429.2	57.6	169	3.2	1.121
3	2	2	7.6	9.7	53.1	7.16	0.3301	282.2	624.7	6.8	0.9956
1	2	2	8.5	8.6	125.6	3.778	124.2	197.8	303.3	40	0.7076
2	2	2	8.7	9.4	173.8	3.318	101.3	267.8	391.8	3.5	1.093
3	2	2	8.1	10.7	94.41	4.698	153	191.8	265.3	7.3	1.517
2	2	3	7.8	10.5	70	2.443	98.33	144.7	244	9	0.9956
3	2	3	7.9	11.8	63.51	4.94	137	159.5	218	6.5	1.31
4	2	1	8.5	10.5	56.72	0.33	215.7	23	138.5	20.83	0.9191
3	2	3	7.8	8.2	85.98	6.2	421.7	31.33	211.7	21.9	1.694
1	2	2	7.7	7.1	63.63	3.14	122.5	28.63	186.5	30	0.07918
3	2	1	7.5	8.8	58.33	8.688	758.8	104.5	292.6	3	1.521
4	2	1	7.6	10	49.63	5.456	308.8	38.63	285.7	75	0.5563
4	2	3	8.3	11.1	41.5	4.665	931.8	39	124.2	13.1	0.415
2	2	2	7.8	6	53.42	0.381	118.6	37.86	102.6	1.2	0.8062
3	2	2	8	9.7	57.85	0.461	217.8	37	87	3	1.348
3	2	3	8.6	11.62	1.549	0.445	25.83	16.83	18.29	1.4	0.6721
1	2	2	8.2	9.4	45.27	7.195	345.5	144	287	9.882	1.47
2	2	2	8.1	7.1	42.64	5.078	56.36	166.7	262.7	17.2	0.2041
3	2	2	8.1	9	48.43	6.64	128.6	181	222.3	6.429	0.6721
1	2	3	7.4	10.7	11.82	2.163	170.9	36.91	122	5.555	1.104
2	2	3	8.3	9.7	10.56	1.921	65.56	61.56	127.2	5.233	0.8261
3	2	3	8.6	10.7	12	2.231	43.75	62.63	89.63	2.15	0.8513
