318	68	158	345	47
312	56	148	290	52
265	46	124	167	27
222	38	104	67	13
274	51	143	238	31
216	35	99	68	14
217	34	109	75	15
202	32	96	54	4
272	44	119	128	23
273	49	123	150	32
260	48	135	117	30
276	47	133	190	26
270	50	126	160	24
280	52	130	212	31
262	50	134	208	31
312	61	120	235	42
220	34	94	52	9
212	32	102	74	13
196	28	85	42	7
226	38	104	69	13
284	61	134	268	50
320	60	137	323	39
331	60	140	359	47
276	46	126	167	40
186	30	92	33	5
213	35	98	51	12
291	47	130	170	26
298	54	137	224	32
287	55	140	238	40
230	40	106	68	16
293	57	135	208	33
298	48	135	167	28
290	47	134	187	28
282	52	135	191	42
221	37	104	58	15
287	54	135	180	27
228	46	129	188	33
210	33	107	65	14
308	58	131	299	29
265	48	124	159	26
270	44	124	145	25
208	33	99	54	9
277	45	123	129	18
241	39	110	104	23
219	38	105	66	13
170	27	87	24	6
150	21	75	19	6
132	20	65	10	1
175	30	86	36	8
150	22	69	18	5
162	25	79	20	6
252	47	124	133	22
275	48	131	179	24
224	36	107	69	13
211	33	100	59	11
254	46	126	120	18
234	37	114	72	17
221	37	108	74	15
167	27	80	27	7
220	36	106	52	14
227	35	118	76	14
177	25	83	25	8
230	47	112	125	18
288	46	132	138	24
275	54	127	191	29
273	42	120	148	21
246	37	110	90	17
250	43	115	120	17
290	48	131	203	34
226	35	111	64	16
269	45	121	124	22
267	48	121	153	24
263	48	123	151	19
217	36	104	68	13
188	33	93	51	10
152	25	76	19	5
227	38	112	88	15
216	25	110	53	12
242	45	112	61	12
260	44	123	133	24
196	35	101	68	15
220	36	105	64	16
