84	45	66	154	65	6	145	46	19	144	168	312	177	73	2	3	184	188
86	43	68	152	62	7	150	44	19	142	179	337	164	75	4	9	188	192
87	44	65	124	56	6	149	46	19	144	170	321	171	87	4	12	179	182
82	45	66	252	126	52	148	45	19	144	237	326	185	119	1	1	181	185
102	45	83	198	65	5	194	33	22	146	225	576	167	79	0	27	193	191
80	44	68	135	59	8	150	45	19	145	170	329	173	80	7	12	180	185
99	48	79	199	68	6	185	35	22	153	202	524	171	74	5	8	195	195
85	43	64	128	56	8	150	46	19	144	168	324	173	82	9	14	180	184
93	49	79	180	65	7	173	37	21	158	189	463	194	70	5	10	197	202
89	42	70	148	62	7	147	45	19	143	176	323	153	76	2	6	186	189
85	41	66	155	65	22	149	45	19	139	173	330	155	75	6	16	184	191
100	48	95	209	68	7	199	32	23	150	216	605	200	73	7	11	192	194
81	42	63	125	55	8	149	46	19	145	166	320	172	86	7	7	179	182
80	43	68	120	54	8	150	45	19	145	171	329	176	85	4	8	179	183
91	40	76	171	67	7	149	44	19	135	169	332	144	68	4	17	192	200
94	44	84	216	74	6	184	35	22	145	208	525	154	73	4	22	196	197
110	56	103	223	64	5	250	26	27	169	280	928	239	85	4	6	184	183
82	45	68	139	64	6	147	46	19	143	169	320	184	80	0	1	181	184
106	54	103	161	47	4	247	27	27	166	266	892	242	85	4	11	181	183
96	49	98	187	59	6	213	31	24	152	228	680	210	77	8	28	188	189
88	40	78	186	73	6	158	41	20	134	185	379	148	73	1	11	193	197
89	44	72	160	66	7	144	46	19	147	166	312	169	69	11	1	191	198
93	37	73	174	68	7	151	43	19	131	175	347	135	68	1	22	196	205
91	42	66	169	66	7	145	44	19	140	169	325	159	67	4	0	201	207
100	41	75	205	71	5	176	36	21	138	204	479	151	72	7	19	197	197
91	42	81	193	69	5	169	38	20	137	184	434	156	68	3	23	198	204
85	44	70	205	103	52	149	45	19	144	241	325	188	127	9	11	180	183
107	57	106	172	50	6	255	26	28	169	280	957	264	85	5	9	181	183
97	43	73	173	65	6	153	42	19	143	176	361	172	66	13	1	200	204
88	46	74	171	68	6	152	43	19	148	180	349	192	71	5	11	189	195
94	49	79	203	71	5	174	37	21	154	196	465	206	71	6	2	197	199
99	41	77	197	69	6	177	36	21	139	202	485	151	72	4	10	198	199
84	47	75	153	64	6	154	43	19	145	175	354	184	75	0	3	185	192
94	43	64	173	69	7	150	43	19	142	169	344	177	68	9	1	199	206
87	39	70	148	61	7	143	46	18	136	164	307	141	69	1	2	192	199
102	45	85	193	64	6	192	33	22	146	217	570	163	76	6	7	195	193
82	44	72	118	52	7	152	44	19	147	174	340	177	82	2	2	180	185
