0.128	0.117	0.104	0.122	0.122	0.122	0.098	0.123	0.122	0.124	0.106	0.107	0.135	0.123	0.126	0.093	0.092
0.153	0.134	0.118	0.133	0.132	0.129	0.121	0.143	0.143	0.136	0.122	0.126	0.153	0.137	0.141	0.107	0.102
0.277	0.211	0.229	0.26	0.253	0.261	0.202	0.254	0.222	0.265	0.231	0.245	0.305	0.269	0.277	0.154	0.149
0.199	0.21	0.201	0.214	0.194	0.208	0.205	0.184	0.2	0.213	0.191	0.262	0.246	0.225	0.224	0.129	0.14
0.151	0.163	0.16	0.162	0.147	0.158	0.155	0.172	0.161	0.157	0.151	0.14	0.212	0.165	0.159	0.11	0.107
0.154	0.163	0.187	0.185	0.152	0.177	0.151	0.186	0.167	0.196	0.165	0.176	0.219	0.201	0.199	0.117	0.111
0.151	0.181	0.178	0.181	0.17	0.183	0.17	0.162	0.176	0.214	0.165	0.167	0.225	0.216	0.209	0.121	0.115
0.249	0.304	0.289	0.291	0.283	0.275	0.265	0.305	0.296	0.298	0.271	0.255	0.301	0.286	0.267	0.199	0.18
0.215	0.231	0.211	0.207	0.193	0.209	0.232	0.225	0.199	0.222	0.197	0.186	0.286	0.25	0.239	0.148	0.137
0.196	0.242	0.223	0.232	0.244	0.24	0.19	0.217	0.243	0.258	0.216	0.251	0.27	0.253	0.253	0.159	0.143
0.149	0.196	0.186	0.181	0.177	0.18	0.156	0.198	0.218	0.187	0.158	0.175	0.179	0.199	0.194	0.155	0.131
0.296	0.345	0.283	0.306	0.242	0.32	0.277	0.366	0.311	0.33	0.298	0.201	0.308	0.336	0.321	0.238	0.217
0.262	0.158	0.178	0.218	0.227	0.229	0.187	0.209	0.177	0.208	0.181	0.205	0.265	0.248	0.247	0.141	0.127
0.206	0.176	0.175	0.216	0.188	0.211	0.173	0.191	0.191	0.197	0.18	0.198	0.25	0.229	0.238	0.143	0.129
0.173	0.114	0.148	0.156	0.134	0.152	0.134	0.145	0.14	0.151	0.136	0.145	0.175	0.157	0.17	0.107	0.103
0.115	0.14	0.153	0.157	0.135	0.16	0.151	0.138	0.165	0.239	0.14	0.16	0.182	0.161	0.166	0.104	0.124
0.151	0.141	0.164	0.161	0.125	0.164	0.136	0.127	0.162	0.158	0.134	0.156	0.18	0.173	0.171	0.103	0.101
0.158	0.148	0.189	0.185	0.159	0.187	0.197	0.197	0.164	0.192	0.146	0.196	0.202	0.197	0.205	0.117	0.108
0.158	0.128	0.144	0.15	0.148	0.147	0.166	0.12	0.143	0.149	0.128	0.145	0.161	0.152	0.152	0.12	0.103
0.152	0.116	0.134	0.125	0.121	0.121	0.168	0.118	0.155	0.126	0.117	0.141	0.14	0.133	0.129	0.104	0.104
0.447	0.261	0.272	0.197	0.244	0.196	0.498	0.427	0.307	0.203	0.287	0.274	0.249	0.224	0.232	0.208	0.224
0.205	0.199	0.19	0.171	0.177	0.201	0.162	0.187	0.244	0.155	0.17	0.202	0.216	0.21	0.212	0.152	0.148
0.1	0.107	0.104	0.099	0.103	0.102	0.106	0.122	0.14	0.102	0.09	0.104	0.116	0.112	0.111	0.111	0.101
0.112	0.113	0.119	0.112	0.113	0.119	0.108	0.135	0.148	0.121	0.098	0.109	0.15	0.126	0.12	0.121	0.118
0.621	0.492	0.362	0.419	0.408	0.418	0.485	0.552	0.404	0.401	0.368	0.396	0.531	0.498	0.438	0.336	0.293
0.328	0.215	0.214	0.258	0.259	0.239	0.228	0.263	0.261	0.242	0.235	0.242	0.322	0.288	0.267	0.18	0.184
0.278	0.214	0.227	0.212	0.217	0.216	0.236	0.245	0.189	0.2	0.205	0.212	0.23	0.207	0.204	0.164	0.168
0.132	0.123	0.12	0.121	0.116	0.123	0.115	0.116	0.132	0.113	0.114	0.115	0.127	0.119	0.12	0.098	0.099
0.146	0.147	0.149	0.158	0.153	0.164	0.148	0.118	0.158	0.153	0.134	0.159	0.175	0.17	0.17	0.111	0.109
0.176	0.133	0.184	0.189	0.162	0.195	0.175	0.154	0.16	0.202	0.172	0.19	0.229	0.217	0.213	0.151	0.165
0.132	0.131	0.129	0.13	0.121	0.129	0.104	0.124	0.168	0.128	0.111	0.13	0.141	0.135	0.123	0.098	0.096
0.123	0.138	0.142	0.101	0.094	0.102	0.081	0.111	0.11	0.1	0.084	0.105	0.107	0.107	0.11	0.091	0.078
0.195	0.227	0.208	0.212	0.192	0.202	0.203	0.2	0.221	0.215	0.175	0.234	0.23	0.214	0.21	0.139	0.131
0.194	0.195	0.179	0.172	0.166	0.164	0.204	0.211	0.215	0.167	0.161	0.181	0.189	0.182	0.18	0.14	0.147
0.256	0.259	0.245	0.252	0.25	0.241	0.24	0.228	0.281	0.242	0.228	0.258	0.264	0.253	0.247	0.181	0.189
0.283	0.285	0.26	0.238	0.251	0.236	0.269	0.322	0.31	0.213	0.227	0.242	0.24	0.232	0.225	0.216	0.211
0.233	0.248	0.226	0.223	0.234	0.207	0.214	0.248	0.248	0.197	0.208	0.219	0.242	0.233	0.194	0.173	0.165
0.196	0.175	0.315	0.19	0.186	0.192	0.141	0.16	0.173	0.183	0.163	0.176	0.23	0.21	0.204	0.143	0.147
0.232	0.184	0.167	0.205	0.188	0.192	0.189	0.19	0.208	0.211	0.193	0.205	0.239	0.211	0.214	0.147	0.14
0.235	0.279	0.222	0.238	0.221	0.231	0.261	0.246	0.279	0.221	0.219	0.234	0.235	0.22	0.239	0.179	0.18
0.181	0.162	0.202	0.202	0.169	0.208	0.207	0.175	0.207	0.203	0.187	0.208	0.227	0.201	0.207	0.131	0.136
0.134	0.144	0.144	0.147	0.13	0.147	0.134	0.122	0.151	0.141	0.135	0.141	0.162	0.156	0.155	0.11	0.113
0.159	0.206	0.195	0.157	0.136	0.145	0.129	0.121	0.198	0.129	0.135	0.154	0.145	0.144	0.137	0.103	0.115
0.168	0.15	0.194	0.144	0.138	0.143	0.122	0.156	0.192	0.135	0.129	0.153	0.163	0.155	0.154	0.109	0.113
0.152	0.205	0.203	0.202	0.183	0.194	0.169	0.17	0.21	0.208	0.183	0.214	0.21	0.204	0.199	0.139	0.132
0.247	0.226	0.229	0.228	0.207	0.225	0.316	0.329	0.277	0.226	0.281	0.253	0.256	0.223	0.235	0.201	0.2
0.31	0.231	0.277	0.317	0.286	0.316	0.292	0.348	0.331	0.284	0.297	0.33	0.342	0.331	0.324	0.24	0.242
0.186	0.165	0.157	0.161	0.164	0.164	0.159	0.185	0.164	0.15	0.155	0.162	0.183	0.173	0.169	0.139	0.139
