10.318	37.7	35.7	26.5	27.1	27.4	127.1	15.35
10.316	37.5	35.3	26	27.2	27.2	128.7	14.72
10.314	37	32.8	25.3	24.8	23.9	124.1	14.61
10.311	39.5	33.7	26.8	25.6	25.8	127.5	14.56
10.309	36	32.8	25.9	25.1	24.9	121.6	13.74
10.322	36	33.8	26.9	25.6	25.7	124.5	14.31
10.311	36	33.8	26.9	25.8	25.4	125.3	14.13
10.314	36.7	34.1	27	25.9	25.9	124.9	14.16
10.292	37.2	31.5	24.8	23.6	23.9	122.5	14.13
10.297	35	31.6	24.9	23.9	23.8	121	14.58
10.282	34.7	29.9	23.5	22.7	22.5	114.7	13.83
10.262	31.5	30.1	23.6	22.8	22.7	111.1	13.18
10.27	30.5	30.1	23.8	22.7	22.6	115	13.45
10.269	31.6	29.8	23.3	22.4	22.3	112.7	12.82
10.264	34.9	29.7	23.2	22.2	22.3	113.5	13.36
10.275	35.7	32.5	25.7	24.4	23.8	120.1	14.61
10.275	37.9	31.8	25	23.4	23.5	122.6	14.74
10.293	34.6	32.9	26.1	25.3	24.4	120.8	13.74
10.282	36.6	32.2	25.3	24.4	24.1	121.1	14.63
10.3	37.2	32.1	25.6	25	24.2	123.4	14.74
10.3	34	33.1	26.4	25.3	25.1	119.7	13.8
10.3	35.3	33.3	26	25.1	25	121.5	14.07
10.295	35.8	33.9	26.6	25.9	25.5	121.7	14.57
10.295	35.9	33.8	26.5	25.2	25.3	121.4	14.88
10.288	34.8	32.9	26.2	25.2	25	118.4	13.99
10.29	35.9	33.4	26.3	25.5	25.4	121.1	14.12
10.29	35.5	32.7	25.4	24	23.8	119.9	13.81
10.301	35.8	35.7	28	26.7	27.2	122.8	14.69
10.302	37	34.9	27.7	26.6	26.6	125.5	15.31
10.3	35.8	33.9	26.8	26	25.8	122.6	14.37
10.305	34.2	34.5	27.2	26.1	25.8	123.9	14.63
10.302	34.8	33.7	26.1	25.2	25.2	124.2	14.59
10.3	36.5	33.9	26.6	25.5	25.4	124.1	14.89
10.3	36.6	33.2	25.9	24.6	24.9	123.4	14.6
10.3	34.8	34.2	26.8	25.5	25.4	121.4	14.66
10.3	37.3	34.9	27.4	26.7	26.7	125.1	14.75
10.3	34.6	34.6	27	26.2	25.8	122.6	14.33
10.31	35.7	34.8	27.4	26.1	26.3	123.4	14.58
10.3	35.7	33.4	26.1	24.9	24.9	120.8	14.67
10.302	37.9	33.6	26.1	25.3	24.9	126.1	15.2
10.3	36.8	35.4	26	27.1	27	125.1	14.94
10.3	39.3	34.8	27.4	26.1	26.2	127.8	15.43
10.31	35.6	34	26.8	26.4	25.7	125.5	14.4
10.3	37.8	34.1	27.2	25.9	27	126.9	15.97
10.31	35.6	33.3	26.4	25.1	24.9	122.6	14.77
10.31	35.7	34.1	26.8	25.8	25.7	121.7	14.59
10.305	33.3	33.2	26.6	25.1	25.3	126.7	14.17
10.3	34.4	33.3	26.5	25.2	25.4	123	14.79
10.3	33.3	32.2	25.6	24.6	24.3	121.5	14.7
10.305	38.4	32.5	25.8	24.9	24.9	126.2	15.2
10.305	34	31.9	25.5	24.4	24.3	122.6	14.11
10.3	33.1	31.1	24.8	23.7	23.9	119	14.06
10.305	34.8	32.3	25.7	25.2	24.7	122.6	14.09
10.305	35.5	32.7	26	25.1	24.9	122.7	14.41
10.31	35.6	33.3	26.5	25.6	25.6	123.3	14.16
10.3	36.1	32.5	25.7	24.9	24.8	123.1	14.34
10.295	36.2	32.6	25.5	24.7	24.9	121.4	14.04
10.3	36	33.5	26.7	25.6	25.7	121.9	14.02
10.29	35.2	31.8	25.1	24.1	24.1	122.2	14
10.3	35.4	32.1	25.5	24.3	24.2	122.1	13.78
10.3	36.6	32.1	25.3	24.5	24.4	123.4	14.14
10.3	37.5	32.6	25.6	24.8	24.9	125.4	14.86
10.3	36.9	33.8	27	25.6	25.6	124.9	14.29
10.3	37.3	31.5	24.9	23.7	23.8	123.4	14.46
10.3	35.2	31.7	25	24	23.9	121.5	13.82
10.3	36.4	32.3	25.8	24.6	24.4	123.5	14.54
10.3	34.5	31.4	24.8	24.1	24	123.9	14.24
10.3	35.8	32.1	25.9	24.7	24.4	122.6	14.14
10.295	36	31.2	24.6	33.8	33.7	122.9	14.05
10.3	35.8	31.3	24.9	23.7	23.9	121.7	14.04
10.305	36.5	33.1	26.6	25.4	25.4	125.1	14.2
10.305	35.5	31.2	24.7	23.3	23	122.8	14.15
10.3	34.5	30.2	23.8	22.8	22.7	112.3	14
10.305	35.9	32	25.3	23.3	24.3	124.2	14.35
10.301	34.3	32.2	25.4	24.6	24.4	122.4	13.98
10.295	34.6	30.8	23.9	22.7	22.7	115.7	13.93
10.31	36.3	32.6	25.8	24.8	24.7	124.7	14.26
10.305	35.2	32.6	25.5	24.8	24.6	123.3	14.07
10.3	34.9	32.7	25.8	24.7	24.9	119	14.42
10.3	35.9	33.7	26.6	25.6	25.7	123.4	14.2
10.301	37.6	33.2	26.3	24.9	24.8	125.6	14.94
10.31	36.1	33.6	26.2	25.6	25.6	125.3	14.43
10.3	34.1	33.2	26	25.4	25.2	124.2	14.37
10.305	39	32.3	25.4	24.4	24.7	123.5	14.4
10.3	34.4	33.1	26.5	25.6	25.5	123.5	14.18
