6.3	1.7	8176	4500	2.76
6	1.9	6699	3120	4.76
5.9	1.5	9663	6300	8.75
3	1.2	12837	9800	7.78
5	1.8	10205	4900	6.18
6.3	2	14890	6500	9.5
5.6	1.6	13836	8920	5.14
3.6	1.2	11628	14500	4.76
2	1.4	15225	14800	16.7
2.9	2.3	18691	10900	27.68
2.2	1.9	19350	16000	26.64
3.9	2.6	20638	16000	13.71
4.5	2	12843	7800	12.31
4.3	9.7	13384	17900	15.73
4	2.9	13307	10500	13.59
3.2	4.3	29855	24500	51.9
4.3	4.3	29277	30000	20.78
2.4	2.6	24651	24500	29.82
2.8	3.7	28539	34000	32.78
3.9	3.3	8085	8160	10.12
2.8	3.9	30328	35800	27.84
1.6	4.1	46172	37000	107.1
3.4	2.5	17836	19600	11.19
