390.4	31.41
413.6	33.15
415.2	33.33
429.2	33.18
422.1	31.53
415.8	33.25
438.7	32.48
382.9	31.02
414.4	32.63
443.3	32.42
443.7	33.99
445.2	32.51
447.7	33.8
431.2	32.69
450.4	34.27
470.1	35.76
271.8	21.2
514.7	31.32
440.7	32.81
476.1	31.43
440.5	30.43
490.4	34.24
418.8	31
365.5	25.86
440.1	30.66
429.2	31.46
442.1	30.91
527.2	35.98
464.8	32.24
449	30.8
461.6	33.63
404.2	30.08
531.2	31.3
410.1	30.86
439.5	27.7
420.6	28.7
518.2	34.27
458.4	31.27
471	31.36
479.1	32.13
504.9	34.65
442.1	32.01
438.1	32.74
474.4	34.27
441.4	31.21
468.3	35.3
410	29.87
444	32.96
431.9	33.67
445.8	32.24
441.9	33.14
400.3	32.22
452.3	32.87
469.4	34.01
448.3	33.84
435.7	34.41
534.5	35.34
424.7	33.3
418	33.92
446.8	34.24
427.5	33.99
465.3	34.66
425.1	34.78
420.7	37.1
420	32.75
418.1	33.99
420.7	34.17
440	33.71
459.5	34.99
448.8	35.16
437.6	35.31
465.9	36.63
354	24.67
486.6	34.64
399.2	32.33
411.2	30.07
198.4	14.62
438.7	34.34
443.1	35.29
462	33.83
476.9	34.36
459.6	34.3
428.1	30.77
461.5	30.12
435.4	32.19
449.4	31.41
419.9	30.6
433.1	30.05
472	33.67
489.3	33.81
433.8	32.42
496.7	33.49
468.7	32.97
505.2	35.53
451.2	32.56
485.6	32.97
468.4	34.34
464.5	32.79
471.4	34.67
454.6	32.52
414.1	31.02
436.1	31.76
486.3	31.98
462.1	31.35
454.7	32.82
421.7	31.85
470.8	32.89
