-15	-10	-14	-8	2	-4	-10	59	8.88
9	0	8	-8	18	8	-18	74	12.18
-3	4	10	0	16	-14	6	49	5.75
-19	6	12	-16	8	-6	4	95	11.75
-3	0	6	4	-8	22	-16	57	10.52
11	-32	-38	10	-16	-2	10	97	10.57
11	2	0	18	-18	12	4	27	1.70
-11	32	38	-10	16	2	-10	62	5.31
-3	-2	-16	-12	-6	-8	-10	56	8.51
9	14	30	12	6	12	0	60	1.21
-3	-6	-2	4	-8	-6	-6	43	3.36
-9	12	12	-12	26	-8	-8	53	8.26
5	-24	-36	-2	-6	4	-4	72	10.14
-11	16	8	-14	8	-10	10	67	-0.58
-3	8	-4	-16	18	-16	2	24	7.10
7	0	18	6	-2	8	4	61	-0.63
9	18	16	-4	8	10	-4	68	5.87
11	-6	4	10	16	2	2	7	-0.25
-1	12	-4	-6	2	-4	-14	10	-9.45
-7	16	12	-2	10	4	-24	58	8.93
1	-12	4	6	-2	4	14	76	18.88
-3	-20	-10	16	-18	12	8	69	4.01
-11	-14	-20	2	-26	-12	22	78	8.48
13	-2	4	20	0	14	-14	6	-0.16
-21	12	10	0	0	6	-6	43	7.26
-1	6	8	-8	-10	-16	18	49	1.69
1	8	20	-6	8	14	-10	2	-4.46
-1	8	10	10	0	-2	-10	49	3.36
5	-10	-14	18	-18	8	14	67	7.53
7	4	4	-10	0	6	0	68	3.91
3	16	24	0	16	-10	-4	77	6.73
15	10	14	8	-2	4	10	1	-2.91
5	-28	-22	14	-8	6	0	97	8.80
-5	-10	-2	-6	8	-18	10	1	1.80
-13	-2	10	-4	-2	-12	18	7	-2.40
7	-16	-12	2	-10	-4	24	94	6.25
-7	0	-18	-6	2	-8	-4	89	15.60
-1	-20	-20	2	2	12	-14	28	1.06
-3	12	6	8	-18	-4	8	92	9.99
-9	0	-8	8	-18	-8	18	94	2.10
-3	-16	-24	0	-16	10	4	7	1.63
-9	-14	-30	-12	-6	-12	0	11	5.84
7	-14	-10	20	0	10	-4	1	-2.30
7	6	6	8	10	20	-28	1	1.42
-5	-6	-16	-22	10	-20	6	93	2.67
7	-10	-24	4	2	8	-8	38	-6.93
-3	10	18	0	16	14	-4	16	0.75
-15	8	-6	-4	-8	-2	4	96	14.31
-5	8	6	-2	-2	-16	24	23	2.93
3	-8	4	16	-18	16	-2	68	2.06
3	2	16	12	6	8	10	89	5.97
-11	-2	0	-18	18	-12	-4	88	9.78
11	-2	-10	-6	18	0	-2	73	10.20
-15	4	8	12	-10	0	8	80	8.90
-5	10	14	-18	18	-8	-14	84	7.55
3	-4	-10	0	-16	14	-6	80	7.11
5	4	-6	6	-8	-10	0	98	12.60
-9	-18	-16	4	-8	-10	4	19	2.80
5	10	2	6	-8	18	-10	79	5.88
-11	12	22	2	6	-8	14	21	3.38
-9	2	0	-8	2	0	-20	94	7.10
-3	24	26	-12	26	-4	-18	69	4.43
11	-16	-8	14	-8	10	-10	31	9.47
17	-20	-24	10	-16	2	0	59	4.92
-1	14	18	10	0	26	-20	31	2.44
-15	24	24	0	0	10	-16	29	2.03
13	2	-10	4	2	12	-18	73	10.35
3	-10	-18	0	-16	-14	4	48	5.65
-17	-6	-18	-10	-16	-6	8	81	2.02
9	-16	-22	-12	10	-4	2	25	3.45
1	-6	-8	8	10	16	-18	58	8.94
3	22	32	0	16	18	-14	25	9.69
13	-4	2	2	-10	0	14	24	13.81
-7	2	4	10	0	22	-10	44	2.66
3	0	-6	-4	8	-22	16	83	2.55
9	-2	0	8	-2	0	20	49	5.61
17	10	4	-6	18	4	-12	33	3.21
13	-18	-26	16	-8	2	6	6	3.41
15	-24	-24	0	0	-10	16	22	3.95
1	6	-2	-22	10	-16	-4	14	2.28
-7	-4	-4	10	0	-6	0	78	10.65
-9	20	8	-4	-8	2	-6	28	5.70
-17	10	12	-6	-8	6	-12	82	7.35
-9	-12	-8	4	-8	18	-6	75	6.69
21	-12	-10	0	0	-6	6	90	6.01
9	-12	-12	12	-26	8	8	40	1.01
-13	2	-4	-20	0	-14	14	94	10.14
1	2	12	-6	8	-14	0	6	-2.33
3	20	10	-16	18	-12	-8	12	4.05
23	2	2	6	8	-2	2	1	-0.90
-1	-8	-20	6	-8	-14	10	61	10.72
-3	-22	-32	0	-16	-18	14	30	-2.72
11	14	20	-2	26	12	-22	2	-0.52
-7	10	24	-4	-2	-8	8	53	16.00
-13	18	26	-16	8	-2	-6	23	-0.55
-1	-6	2	22	-10	16	4	57	4.77
-5	28	22	-14	8	-6	0	14	2.27
-9	16	22	12	-10	4	-2	91	8.13
5	2	6	-2	26	8	-12	95	7.36
19	-6	-12	16	-8	6	-4	67	4.71
7	-2	-4	-10	0	-22	10	9	2.93
-1	-2	-12	6	-8	14	0	5	3.42
-23	-2	-2	-6	-8	2	-2	58	6.78
15	-8	6	4	8	2	-4	97	4.97
-7	-6	-6	-8	-10	-20	28	18	0.47
17	6	18	10	16	6	-8	8	7.64
1	-8	-10	-10	0	2	10	23	4.90
11	-12	-22	-2	-6	8	-14	87	6.91
1	-14	-18	-10	0	-26	20	58	6.46
5	-8	-6	2	2	16	-24	76	6.94
-13	4	-2	-2	10	0	-14	9	-8.69
-17	-10	-4	6	-18	-4	12	89	11.03
-5	-4	6	-6	8	10	0	70	4.18
-11	2	10	6	-18	0	2	81	5.16
-7	14	10	-20	0	-10	4	82	8.70
-5	24	36	2	6	-4	4	98	6.83
9	12	8	-4	8	-18	6	25	3.27
17	-10	-12	6	8	-6	12	9	1.71
3	-12	-6	-8	18	4	-8	86	7.78
15	-4	-8	-12	10	0	-8	11	0.20
-17	20	24	-10	16	-2	0	59	6.86
1	20	20	-2	-2	-12	14	91	12.06
3	6	2	-4	8	6	6	62	7.10
-5	-2	-6	2	-26	-8	12	91	11.21
9	-20	-8	4	8	-2	6	87	5.79
5	6	16	22	-10	20	-6	92	15.30
-11	6	-4	-10	-16	-2	-2	64	7.33
3	-24	-26	12	-26	4	18	53	7.76
