173	57	18	2	2	1	2	2	86	88	93
179	58	19	2	2	1	2	1	82	150	93
167	62	18	2	2	1	1	1	96	176	93
195	84	18	1	2	1	1	2	71	73	93
173	64	18	2	2	1	3	2	90	88	93
184	74	22	1	2	1	3	1	78	141	93
162	57	20	2	2	1	2	2	68	72	93
169	55	18	2	2	1	2	2	71	77	93
164	56	19	2	2	1	1	2	68	68	93
168	60	23	1	2	1	2	1	88	150	93
170	75	20	1	2	1	1	1	76	88	93
178	58	19	1	2	2	3	2	74	76	93
170	68	22	1	1	1	2	2	70	71	93
187	59	18	1	2	1	1	2	78	82	93
180	72	18	1	2	1	2	2	69	67	93
185	110	22	1	2	1	3	2	77	73	93
170	56	19	1	2	2	3	2	64	63	93
180	70	18	1	2	1	2	1	80	146	93
166	56	21	2	1	2	2	2	83	79	93
155	50	19	2	2	2	2	2	78	79	93
175	60	19	1	2	2	3	2	88	86	93
140	50	34	2	2	2	3	1	70	98	93
163	55	20	2	2	2	3	2	78	74	93
182	75	26	1	1	1	2	2	80	76	93
176	59	19	1	2	2	2	2	68	69	93
177	74	18	2	2	2	2	1	70	96	93
170	60	18	1	2	1	2	2	62	59	95
172	60	21	2	2	2	3	2	81	79	95
189	60	19	1	2	1	2	1	78	168	95
178	56	21	2	2	1	2	1	86	150	95
175	75	20	1	2	1	2	1	59	92	95
180	85	19	1	1	1	2	1	68	125	95
160	57	19	2	2	2	2	1	75	130	95
164	66	23	2	2	2	3	1	74	168	95
175	65	19	1	2	1	2	1	60	104	95
163	55	20	2	2	2	2	1	70	119	95
185	90	18	1	2	2	3	1	80	140	95
169	68	19	1	2	2	2	2	58	58	95
165	63	18	2	2	1	2	2	84	84	95
155	49	18	2	2	1	2	2	104	92	95
175	66	20	1	2	1	2	2	66	68	95
178	63	23	1	2	1	3	2	84	90	95
184	65	21	1	1	2	2	2	65	67	95
170	60	19	2	2	1	2	2	80	80	95
162	60	19	2	2	1	2	2	66	60	95
164	46	18	2	2	2	2	2	104	96	95
171	70	26	2	2	2	2	2	76	76	95
182	85	20	1	1	1	3	2	70	68	95
174	60	19	2	2	1	3	1	66	89	96
167	70	22	1	1	1	3	2	92	84	96
157	41	20	2	2	2	2	1	70	95	96
183	73	20	1	2	1	2	2	63	65	96
167	75	20	2	2	1	2	2	65	67	96
171	67	18	2	2	1	3	2	76	74	96
182	63	20	1	2	1	1	1	56	110	96
173	70	20	1	2	1	1	1	64	126	96
182	85	20	1	2	1	1	2	60	56	96
158	51	18	2	2	2	2	1	68	84	96
160	49	19	2	2	2	3	2	80	72	96
180	75	20	1	2	1	2	1	65	82	96
180	77	18	2	2	2	2	1	47	136	96
188	87	20	1	2	1	1	1	50	90	96
164	54	18	2	2	2	3	2	80	76	96
180	102	20	1	2	1	2	2	76	72	96
178	62	21	1	2	2	3	2	70	74	96
166	50	19	2	2	1	3	1	76	132	96
175	57	20	2	2	1	2	1	72	115	96
180	80	21	1	2	1	2	2	80	80	96
182	98	19	1	2	1	2	1	76	150	96
151	42	22	2	2	2	3	1	85	130	97
186	87	23	1	2	1	1	1	49	83	97
190	82	19	1	2	2	2	2	76	73	97
179	80	20	1	2	1	2	1	145	155	97
165	48	19	2	2	2	3	2	83	84	97
172	53	20	1	2	2	3	1	72	136	97
170	53.5	20	2	2	2	3	2	60	62	97
170	58.5	20	1	2	2	3	2	80	82	97
163	51	18	2	2	1	3	1	70	120	97
191	78	19	1	2	1	1	1	68	136	97
172	59	18	2	2	1	2	1	78	129	97
171	71	41	1	2	2	3	2	52	60	97
180	76	21	1	2	2	1	2	74	72	97
194	110	25	1	2	2	2	2	75	75	97
167	63	28	1	2	1	2	2	72	68	97
192	105	21	1	2	2	2	2	80	73	97
194	95	18	1	2	1	2	1	84	140	97
189	88	45	1	2	2	2	2	74	72	97
162	50	19	2	2	1	2	1	90	160	97
175	54	18	2	2	1	2	2	61	59	97
175	78.5	19	1	2	1	3	1	85	131	97
186	96	19	1	2	1	3	1	78	132	97
178	86	21	1	1	1	3	2	76	80	98
170	58	21	1	1	1	2	2	90	84	98
165	58	23	2	2	1	3	2	64	68	98
164	78	28	2	2	2	2	1	64	120	98
180	65	20	1	2	2	2	1	88	144	98
170	62	20	2	2	1	2	2	64	64	98
155	55	20	2	2	1	1	2	82	87	98
165	60	19	2	1	1	3	1	88	120	98
168	55	24	2	2	2	2	2	74	70	98
68	63	19	1	2	2	2	1	88	136	98
170	63	20	2	2	1	3	1	92	120	98
179	80	20	1	2	2	2	1	76	168	98
163	47	23	2	1	1	3	1	71	125	98
93	27	19	2	2	2	3	2	119	120	98
161	43	19	2	2	2	3	2	90	89	98
182	60	22	1	2	1	3	2	86	84	98
170	65	18	1	2	1	1	2	69	64	98
185	85	19	1	2	1	2	2	75	68	98
