7.09	6.06	13.9	2.88	7.08	2.46	10.71	54.2	4.3	95.44	96.77	7.64	3.34	22.32	23.05	92.75	29.06	60.29	12.83	1.91	0.53	20532	65.43	51.4	61.55	26.27	42.35	5.76
7.83	5.6	13.4	2.64	5.68	2.78	11.03	55	5.7	92.53	103.46	6.95	2.84	14.81	29.11	92.23	29.22	70.87	18.82	8.5	1.82	20738	64.84	96.6	57.35	20.38	26.38	5.05
6.38	10.97	20.4	2.51	10.11	2.08	16.7	47.5	5.5	58.62	234.19	8.09	4.21	5.43	23.71	83.86	32.7	56.62	10.46	1.06	0.31	16996	64.63	19.9	28.75	0	54.88	4.12
5.88	9.81	20.5	2.84	8.87	3.17	12.81	47.8	5.2	71.89	155.61	8.35	4	12.77	16.75	86.59	32.4	56.7	12.98	1.07	0.85	20075	60.01	48.1	49.35	25.34	35.31	6.55
6.01	9.53	16.1	2.61	8.5	1.73	16.7	50.5	5.1	74.26	132.04	8.22	3.93	10.62	28.14	87.31	30.24	65.02	9.35	2.03	0.49	19262	63.36	83.3	75.67	46.06	35.84	4.87
5.28	10.43	28.9	2.86	10.63	11.67	8.07	45.4	6.5	44.96	86.19	5.63	2.91	3.19	15.6	88.37	36.09	60.81	21.44	2	2.82	24919	67.49	51.4	62.49	42.1	23.01	7.27
7.84	11.8	26.3	2.96	10.8	2.06	18.99	46.5	6.2	68.75	173.84	9.87	5.02	6.8	20.2	78.9	30.49	52.75	5.43	1.31	0.38	16450	58.63	22.4	43.74	14.92	49.21	3.39
6.87	10.36	20.9	2.17	9.09	3.86	16.22	47.6	5.1	65.62	193.54	7.86	3.99	13.56	28.12	84.6	30.84	60.03	12.05	1.17	0.85	19599	61.77	38.6	60.38	33.91	39.83	6.66
8.3	5.03	17.9	3.46	5.81	2.98	10.72	57.1	4.3	121.89	136.34	8.77	3.54	17.62	30.4	94.49	26.6	67.34	12.79	2.2	0.71	21495	62.31	86.2	66.96	28.56	39.67	6.31
7.38	11.94	30.6	1.58	12.42	1.59	17.53	40.2	8.7	46.79	173.15	8.15	4.64	5.71	16.55	59.13	33.8	54.89	5.56	2.35	0.14	15414	60.79	30.5	44.58	30.77	53.01	4.31
5.62	7.67	20.9	3.2	8.93	5.5	9.69	49.5	5.1	60.7	82.06	6.22	3	10.86	15.47	95.09	35.4	61.12	14.66	1.43	0.77	22375	67.5	31.7	56.26	27.69	34.13	4.68
7.92	8.39	18.9	2.09	7.46	2.51	19.71	48.4	4.1	71.26	125.45	7.99	3.74	8.74	25.39	81.89	29.18	60.22	8.09	1.55	0.43	16923	61.42	30.9	54.38	29	51.74	3.27
5.86	13.45	33.2	2.3	12.3	1.25	16.72	42.3	5.4	41.57	168.79	7.09	3.82	6.32	11.2	59.16	32.01	51.9	8.21	4.25	0.34	15234	61.32	27.1	21.61	0	45.12	1.68
6.21	13.33	33	1.55	12.15	2.85	22.33	41.6	3.7	17.46	250.85	3.35	2.26	8.21	16.85	73	32.69	53.61	7.84	3.93	0.37	16126	60.91	19.6	23.72	0	44.19	5.62
5.33	10.66	28.2	1.98	10.84	1.93	16.29	40.9	7.1	50.39	135.14	7.65	4.3	7.34	17.49	74.4	28.73	54.25	5.83	1.13	0.07	18151	63.29	27.9	59.95	36.76	55.77	4.44
8.32	8.07	15.4	2.15	6.96	1.71	16.82	50.1	5.6	98.72	181.59	9.2	4.39	10.4	27	86.03	28.15	57.69	6.21	0.54	0.18	16898	55.29	27.4	38.95	0	49.77	4.77
