41	38	33	39	34	33	28	26	33	31	32	35
44	46	40	38	35	44	34	35	44	45	38	40
44	44	39	43	41	38	35	31	44	43	33	35
44	41	33	38	33	33	35	32	37	41	35	36
41	46	27	37	37	32	30	35	39	42	35	34
38	39	40	39	32	37	35	31	37	38	43	42
40	42	39	42	37	39	35	36	32	39	40	39
38	40	35	40	34	35	34	34	30	40	39	40
38	41	34	35	33	33	28	28	34	38	43	40
44	38	39	40	32	40	34	35	41	44	41	43
37	41	34	35	33	33	33	31	40	46	40	40
37	40	34	35	33	34	35	31	37	40	40	46
36	38	31	36	34	35	31	37	40	39	42	42
43	38	37	34	38	42	29	28	34	34	38	42
57	44	33	36	38	37	28	29	32	36	41	40
43	43	31	35	38	37	32	25	32	31	39	38
40	38	31	35	37	37	24	22	29	29	42	41
36	40	39	45	33	31	40	44	38	40	34	36
41	45	41	48	32	29	46	46	43	40	39	43
41	43	54	55	31	27	45	42	41	42	41	44
49	46	49	61	27	32	45	47	46	40	38	46
39	44	51	57	27	28	42	47	34	40	35	39
42	36	41	43	36	35	44	43	38	39	37	33
39	38	40	47	38	32	47	46	40	43	39	40
40	40	42	45	40	39	51	44	46	41	37	39
34	37	42	44	38	32	48	42	38	40	38	33
43	40	40	48	30	30	45	39	40	39	35	35
41	41	48	48	30	30	48	42	44	44	37	44
43	37	55	54	29	31	46	43	42	44	34	35
38	34	48	52	33	32	49	53	41	45	34	36
34	31	55	53	36	37	42	40	44	42	40	35
30	30	49	57	33	34	42	40	43	45	37	38
31	33	44	44	35	39	46	37	46	45	38	41
32	38	47	55	37	36	50	45	43	47	37	36
40	37	35	35	36	33	36	36	33	31	29	35
37	36	38	35	23	30	49	43	37	38	42	42
36	35	43	38	23	28	38	41	34	34	44	44
37	35	35	37	24	21	40	43	36	36	37	35
36	33	34	33	25	22	35	43	34	37	36	40
29	33	32	37	32	37	40	39	27	31	35	35
29	30	28	34	33	33	40	38	26	26	31	35
28	31	30	36	35	27	37	43	29	28	32	31
29	32	32	31	35	35	37	38	32	27	31	31
30	37	33	35	27	25	45	46	37	36	39	40
30	34	34	37	30	26	46	44	29	32	38	56
30	33	34	37	29	21	46	47	32	34	35	34
33	36	34	34	25	23	43	42	35	36	34	34
28	33	23	28	27	22	39	44	37	37	35	36
28	29	26	32	27	29	37	38	32	31	34	35
29	30	24	28	27	22	41	46	34	37	31	31
